iter	Passed	Remaining
0	47	47416
1	47	23908
2	48	16043
3	48	12081
4	48	9711
5	49	8128
6	49	6997
7	49	6147
8	49	5486
9	50	4960
10	50	4527
11	50	4166
12	50	3860
13	51	3608
14	51	3390
15	51	3193
16	52	3019
17	52	2862
18	52	2724
19	53	2597
20	53	2482
21	53	2379
22	53	2283
23	53	2195
24	54	2114
25	54	2041
26	54	1972
27	54	1907
28	55	1847
29	55	1791
30	55	1738
31	55	1689
32	56	1645
33	56	1602
34	56	1562
35	56	1524
36	57	1489
37	57	1455
38	57	1423
39	58	1394
40	58	1367
41	58	1340
42	59	1313
43	59	1287
44	59	1262
45	59	1238
46	59	1216
47	60	1197
48	60	1176
49	60	1157
50	61	1137
51	61	1119
52	61	1101
53	61	1085
54	62	1068
55	62	1052
56	62	1036
57	62	1022
58	63	1007
59	63	993
60	63	979
61	63	966
62	64	953
63	64	940
64	64	928
65	64	917
66	65	907
67	65	896
68	65	886
69	65	876
70	66	866
71	66	855
72	66	846
73	66	836
74	67	827
75	67	818
76	67	809
77	67	801
78	68	793
79	68	785
80	68	777
81	68	769
82	68	760
83	69	752
84	69	745
85	69	739
86	69	732
87	70	725
88	70	718
89	70	712
90	70	706
91	70	699
92	71	693
93	71	687
94	71	681
95	71	676
96	72	671
97	72	667
98	72	662
99	73	657
100	73	652
101	73	647
102	73	642
103	73	637
104	74	632
105	74	627
106	74	623
107	74	618
108	75	614
109	75	609
110	75	605
111	75	601
112	76	596
113	76	592
114	76	588
115	76	584
116	76	580
117	77	576
118	77	572
119	77	568
120	77	565
121	77	561
122	78	562
123	79	559
124	79	556
125	79	552
126	79	549
127	80	546
128	80	543
129	80	540
130	80	537
131	81	534
132	81	531
133	81	528
134	82	525
135	82	522
136	82	520
137	82	517
138	83	514
139	83	511
140	83	509
141	83	506
142	84	503
143	84	500
144	84	498
145	84	496
146	85	493
147	85	491
148	85	488
149	85	486
150	86	483
151	86	481
152	86	479
153	86	477
154	87	474
155	87	472
156	87	470
157	87	467
158	87	465
159	88	463
160	88	460
161	88	458
162	88	456
163	89	454
164	89	451
165	90	453
166	90	451
167	90	449
168	90	446
169	91	444
170	91	442
171	91	440
172	91	438
173	92	436
174	92	434
175	92	433
176	92	431
177	92	429
178	93	427
179	93	425
180	93	423
181	93	422
182	94	420
183	94	418
184	94	417
185	94	415
186	95	413
187	95	412
188	95	410
189	95	408
190	96	406
191	96	405
192	96	403
193	96	402
194	96	400
195	97	398
196	97	397
197	97	395
198	97	394
199	98	392
200	98	390
201	98	389
202	98	387
203	99	386
204	99	385
205	99	383
206	99	382
207	100	381
208	100	380
209	100	378
210	100	377
211	101	375
212	101	374
213	101	373
214	101	372
215	102	370
216	102	369
217	102	368
218	102	367
219	103	365
220	103	364
221	103	363
222	103	362
223	104	360
224	104	359
225	104	358
226	105	357
227	105	356
228	105	355
229	105	354
230	106	353
231	106	351
232	106	350
233	106	349
234	107	348
235	107	347
236	107	346
237	107	344
238	107	343
239	108	342
